architecture,workload,N,shape,sum_activity,max_activity,min_activity,mean_activity,std_activity,nonzero_cells
standard,checkerboard,2,2x2,20,10,0,5.0,5.0,2
standard,hotspot,2,2x2,10,10,0,2.5,4.330127018922194,1
standard,uniform,2,2x2,40,10,10,10.0,0.0,4
standard,checkerboard,4,4x4,80,10,0,5.0,5.0,8
standard,hotspot,4,4x4,40,10,0,2.5,4.330127018922194,4
standard,uniform,4,4x4,160,10,10,10.0,0.0,16
standard,checkerboard,8,8x8,320,10,0,5.0,5.0,32
standard,hotspot,8,8x8,160,10,0,2.5,4.330127018922194,16
standard,uniform,8,8x8,640,10,10,10.0,0.0,64
standard,checkerboard,16,16x16,1280,10,0,5.0,5.0,128
standard,hotspot,16,16x16,640,10,0,2.5,4.330127018922194,64
standard,uniform,16,16x16,2560,10,10,10.0,0.0,256
systolic,checkerboard,2,2x2,24,6,6,6.0,0.0,4
systolic,hotspot,2,2x2,36,12,0,9.0,5.196152422706632,3
systolic,uniform,2,2x2,50,13,12,12.5,0.5,4
systolic,checkerboard,4,4x4,104,7,6,6.5,0.5,16
systolic,hotspot,4,4x4,146,13,0,9.125,5.278198082679353,12
systolic,uniform,4,4x4,212,15,12,13.25,0.9682458365518543,16
systolic,checkerboard,8,8x8,464,9,6,7.25,0.9682458365518543,64
systolic,hotspot,8,8x8,596,15,0,9.3125,5.422392806685993,48
systolic,uniform,8,8x8,936,19,12,14.625,1.899835519196333,64
systolic,checkerboard,16,16x16,2200,12,6,8.59375,1.834723667885712,256
systolic,hotspot,16,16x16,2472,19,0,9.65625,5.75602605427564,192
systolic,uniform,16,16x16,4412,24,12,17.234375,3.6152549508125977,256
