0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
6,6,7,7,8,8,9,9,10,10,11,11,12,12,12,12
6,6,7,7,8,8,9,9,10,10,11,11,12,12,12,12
7,7,6,6,7,7,8,8,9,9,10,10,11,11,12,12
7,7,6,6,7,7,8,8,9,9,10,10,11,11,12,12
8,8,7,7,6,6,7,7,8,8,9,9,10,10,11,11
8,8,7,7,6,6,7,7,8,8,9,9,10,10,11,11
9,9,8,8,7,7,6,6,7,7,8,8,9,9,10,10
9,9,8,8,7,7,6,6,7,7,8,8,9,9,10,10
10,10,9,9,8,8,7,7,6,6,7,7,8,8,9,9
10,10,9,9,8,8,7,7,6,6,7,7,8,8,9,9
11,11,10,10,9,9,8,8,7,7,6,6,7,7,8,8
11,11,10,10,9,9,8,8,7,7,6,6,7,7,8,8
12,12,11,11,10,10,9,9,8,8,7,7,6,6,7,7
12,12,11,11,10,10,9,9,8,8,7,7,6,6,7,7
12,12,12,12,11,11,10,10,9,9,8,8,7,7,6,6
12,12,12,12,11,11,10,10,9,9,8,8,7,7,6,6
