0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
12,13,14,15,16,17,18,19,12,12,12,12,12,12,12,12
13,12,13,14,15,16,17,18,12,12,12,12,12,12,12,12
14,13,12,13,14,15,16,17,12,12,12,12,12,12,12,12
15,14,13,12,13,14,15,16,12,12,12,12,12,12,12,12
16,15,14,13,12,13,14,15,12,12,12,12,12,12,12,12
17,16,15,14,13,12,13,14,12,12,12,12,12,12,12,12
18,17,16,15,14,13,12,13,12,12,12,12,12,12,12,12
19,18,17,16,15,14,13,12,12,12,12,12,12,12,12,12
12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0
12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0
12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0
12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0
12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0
12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0
12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0
12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0
