0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
12,13,14,15,16,17,18,19,20,21,22,23,24,24,24,24
13,12,13,14,15,16,17,18,19,20,21,22,23,24,24,24
14,13,12,13,14,15,16,17,18,19,20,21,22,23,24,24
15,14,13,12,13,14,15,16,17,18,19,20,21,22,23,24
16,15,14,13,12,13,14,15,16,17,18,19,20,21,22,23
17,16,15,14,13,12,13,14,15,16,17,18,19,20,21,22
18,17,16,15,14,13,12,13,14,15,16,17,18,19,20,21
19,18,17,16,15,14,13,12,13,14,15,16,17,18,19,20
20,19,18,17,16,15,14,13,12,13,14,15,16,17,18,19
21,20,19,18,17,16,15,14,13,12,13,14,15,16,17,18
22,21,20,19,18,17,16,15,14,13,12,13,14,15,16,17
23,22,21,20,19,18,17,16,15,14,13,12,13,14,15,16
24,23,22,21,20,19,18,17,16,15,14,13,12,13,14,15
24,24,23,22,21,20,19,18,17,16,15,14,13,12,13,14
24,24,24,23,22,21,20,19,18,17,16,15,14,13,12,13
24,24,24,24,23,22,21,20,19,18,17,16,15,14,13,12
