N,architecture,workload,mae_temp,rmse_temp,max_abs_error,peak_abs_error,grad_abs_error,phys_residual_mse
8,standard,checkerboard,0.022587984800338745,0.02581731230020523,0.051239013671875,0.023344039916992188,0.017475025728344917,8.057629747781903e-05
8,standard,hotspot,0.03397548198699951,0.04880596697330475,0.1443157196044922,0.14134979248046875,0.031265564262866974,0.00017248064978048205
8,standard,uniform,0.033695727586746216,0.036708440631628036,0.06109619140625,0.06109619140625,0.010511551983654499,2.5160958102787845e-05
8,systolic,checkerboard,0.05907398462295532,0.06479977816343307,0.14651870727539062,0.045318603515625,0.017074499279260635,4.505471952143125e-05
8,systolic,hotspot,0.0467970073223114,0.05891488865017891,0.1620159149169922,0.1620159149169922,0.0356975793838501,0.0002173998800572008
8,systolic,uniform,0.04146251082420349,0.04766128212213516,0.09418106079101562,0.04839134216308594,0.021318059414625168,9.781391418073326e-05
16,standard,checkerboard,0.032888129353523254,0.035828713327646255,0.07576370239257812,0.018606185913085938,0.01170261763036251,5.0589864258654416e-05
16,standard,hotspot,0.03204303979873657,0.04334785416722298,0.1645050048828125,0.1645050048828125,0.017058033496141434,4.8287169192917645e-05
16,standard,uniform,0.033901967108249664,0.03591638803482056,0.06548118591308594,0.06548118591308594,0.008139562793076038,1.6893387510208413e-05
16,systolic,checkerboard,0.03697817772626877,0.046226866543293,0.13817977905273438,0.10594367980957031,0.012994718737900257,3.479301813058555e-05
16,systolic,hotspot,0.0644100159406662,0.07797890156507492,0.17042160034179688,0.08264923095703125,0.022983532398939133,0.000100692268460989
16,systolic,uniform,0.04457087069749832,0.054960064589977264,0.13636016845703125,0.01700592041015625,0.024241197854280472,0.00012138504825998098
