case_id,architecture,workload,N,shape,source,valid_cells,split
0,standard,stripes,8,8x8,synthetic,64,synthetic_train
1,standard,uniform,8,8x8,synthetic,64,synthetic_train
2,standard,stripes,8,8x8,synthetic,64,synthetic_test
3,standard,hotspot,8,8x8,synthetic,64,synthetic_train
4,standard,stripes,8,8x8,synthetic,64,synthetic_train
5,standard,uniform,8,8x8,synthetic,64,synthetic_test
6,standard,multihotspot,8,8x8,synthetic,64,synthetic_test
7,standard,checkerboard,8,8x8,synthetic,64,synthetic_val
8,standard,uniform,8,8x8,synthetic,64,synthetic_test
9,standard,stripes,8,8x8,synthetic,64,synthetic_val
10,standard,hotspot,8,8x8,synthetic,64,synthetic_train
11,standard,hotspot,8,8x8,synthetic,64,synthetic_train
12,standard,stripes,8,8x8,synthetic,64,synthetic_train
13,standard,stripes,8,8x8,synthetic,64,synthetic_train
14,standard,multihotspot,8,8x8,synthetic,64,synthetic_train
15,standard,multihotspot,8,8x8,synthetic,64,synthetic_train
16,standard,multihotspot,8,8x8,synthetic,64,synthetic_train
17,standard,hotspot,8,8x8,synthetic,64,synthetic_train
18,standard,checkerboard,8,8x8,synthetic,64,synthetic_train
19,standard,checkerboard,8,8x8,synthetic,64,synthetic_val
20,standard,checkerboard,8,8x8,synthetic,64,synthetic_train
21,standard,stripes,8,8x8,synthetic,64,synthetic_train
22,standard,uniform,8,8x8,synthetic,64,synthetic_train
23,standard,uniform,8,8x8,synthetic,64,synthetic_train
24,standard,hotspot,8,8x8,synthetic,64,synthetic_train
25,standard,multihotspot,8,8x8,synthetic,64,synthetic_train
26,standard,uniform,8,8x8,synthetic,64,synthetic_train
27,standard,quadrant,8,8x8,synthetic,64,synthetic_train
28,standard,checkerboard,8,8x8,synthetic,64,synthetic_test
29,standard,multihotspot,8,8x8,synthetic,64,synthetic_test
30,standard,checkerboard,8,8x8,synthetic,64,synthetic_train
31,standard,uniform,8,8x8,synthetic,64,synthetic_val
32,standard,stripes,8,8x8,synthetic,64,synthetic_train
33,standard,hotspot,8,8x8,synthetic,64,synthetic_train
34,standard,uniform,8,8x8,synthetic,64,synthetic_val
35,standard,checkerboard,8,8x8,synthetic,64,synthetic_train
36,standard,hotspot,8,8x8,synthetic,64,synthetic_train
37,standard,checkerboard,8,8x8,synthetic,64,synthetic_train
38,standard,quadrant,8,8x8,synthetic,64,synthetic_train
39,standard,uniform,8,8x8,synthetic,64,synthetic_train
40,standard,hotspot,8,8x8,synthetic,64,synthetic_val
41,standard,checkerboard,8,8x8,synthetic,64,synthetic_train
42,standard,hotspot,8,8x8,synthetic,64,synthetic_train
43,standard,uniform,8,8x8,synthetic,64,synthetic_train
44,standard,uniform,8,8x8,synthetic,64,synthetic_test
45,standard,checkerboard,8,8x8,synthetic,64,synthetic_train
46,standard,stripes,8,8x8,synthetic,64,synthetic_train
47,standard,uniform,8,8x8,synthetic,64,synthetic_test
48,standard,hotspot,8,8x8,synthetic,64,synthetic_train
