sample_id,source,architecture,workload,N,shape,split_role
synthetic_standard_stripes_2_00000,synthetic,standard,stripes,2,2x2,synthetic_test
synthetic_standard_uniform_2_00001,synthetic,standard,uniform,2,2x2,synthetic_test
synthetic_standard_stripes_2_00002,synthetic,standard,stripes,2,2x2,synthetic_train
synthetic_standard_hotspot_2_00003,synthetic,standard,hotspot,2,2x2,synthetic_val
synthetic_standard_multihotspot_2_00004,synthetic,standard,multihotspot,2,2x2,synthetic_train
synthetic_standard_hotspot_2_00005,synthetic,standard,hotspot,2,2x2,synthetic_train
synthetic_standard_multihotspot_2_00006,synthetic,standard,multihotspot,2,2x2,synthetic_test
synthetic_standard_quadrant_2_00007,synthetic,standard,quadrant,2,2x2,synthetic_val
synthetic_standard_uniform_2_00008,synthetic,standard,uniform,2,2x2,synthetic_train
synthetic_standard_multihotspot_2_00009,synthetic,standard,multihotspot,2,2x2,synthetic_train
synthetic_standard_hotspot_2_00010,synthetic,standard,hotspot,2,2x2,synthetic_test
synthetic_standard_uniform_2_00011,synthetic,standard,uniform,2,2x2,synthetic_train
synthetic_standard_checkerboard_2_00012,synthetic,standard,checkerboard,2,2x2,synthetic_test
synthetic_standard_stripes_2_00013,synthetic,standard,stripes,2,2x2,synthetic_train
synthetic_standard_stripes_2_00014,synthetic,standard,stripes,2,2x2,synthetic_train
synthetic_standard_multihotspot_2_00015,synthetic,standard,multihotspot,2,2x2,synthetic_train
synthetic_standard_stripes_2_00016,synthetic,standard,stripes,2,2x2,synthetic_train
synthetic_standard_stripes_2_00017,synthetic,standard,stripes,2,2x2,synthetic_train
synthetic_standard_uniform_2_00018,synthetic,standard,uniform,2,2x2,synthetic_train
synthetic_standard_hotspot_2_00019,synthetic,standard,hotspot,2,2x2,synthetic_train
synthetic_standard_multihotspot_2_00020,synthetic,standard,multihotspot,2,2x2,synthetic_train
synthetic_standard_uniform_2_00021,synthetic,standard,uniform,2,2x2,synthetic_train
synthetic_standard_checkerboard_2_00022,synthetic,standard,checkerboard,2,2x2,synthetic_test
synthetic_standard_checkerboard_2_00023,synthetic,standard,checkerboard,2,2x2,synthetic_train
synthetic_standard_checkerboard_2_00024,synthetic,standard,checkerboard,2,2x2,synthetic_train
synthetic_standard_stripes_2_00025,synthetic,standard,stripes,2,2x2,synthetic_train
synthetic_standard_stripes_2_00026,synthetic,standard,stripes,2,2x2,synthetic_train
synthetic_standard_multihotspot_2_00027,synthetic,standard,multihotspot,2,2x2,synthetic_train
synthetic_standard_uniform_2_00028,synthetic,standard,uniform,2,2x2,synthetic_train
synthetic_standard_hotspot_2_00029,synthetic,standard,hotspot,2,2x2,synthetic_test
synthetic_standard_multihotspot_2_00030,synthetic,standard,multihotspot,2,2x2,synthetic_train
synthetic_standard_quadrant_2_00031,synthetic,standard,quadrant,2,2x2,synthetic_train
synthetic_standard_checkerboard_2_00032,synthetic,standard,checkerboard,2,2x2,synthetic_train
synthetic_standard_multihotspot_2_00033,synthetic,standard,multihotspot,2,2x2,synthetic_train
synthetic_standard_quadrant_2_00034,synthetic,standard,quadrant,2,2x2,synthetic_test
synthetic_standard_hotspot_2_00035,synthetic,standard,hotspot,2,2x2,synthetic_test
synthetic_standard_stripes_2_00036,synthetic,standard,stripes,2,2x2,synthetic_val
synthetic_standard_multihotspot_2_00037,synthetic,standard,multihotspot,2,2x2,synthetic_test
synthetic_standard_hotspot_2_00038,synthetic,standard,hotspot,2,2x2,synthetic_test
synthetic_standard_checkerboard_2_00039,synthetic,standard,checkerboard,2,2x2,synthetic_test
synthetic_standard_hotspot_2_00040,synthetic,standard,hotspot,2,2x2,synthetic_train
synthetic_standard_hotspot_2_00041,synthetic,standard,hotspot,2,2x2,synthetic_train
synthetic_standard_uniform_2_00042,synthetic,standard,uniform,2,2x2,synthetic_val
synthetic_standard_hotspot_2_00043,synthetic,standard,hotspot,2,2x2,synthetic_train
synthetic_standard_hotspot_2_00044,synthetic,standard,hotspot,2,2x2,synthetic_test
synthetic_standard_hotspot_2_00045,synthetic,standard,hotspot,2,2x2,synthetic_train
synthetic_standard_checkerboard_2_00046,synthetic,standard,checkerboard,2,2x2,synthetic_val
synthetic_standard_uniform_2_00047,synthetic,standard,uniform,2,2x2,synthetic_val
synthetic_standard_quadrant_2_00048,synthetic,standard,quadrant,2,2x2,synthetic_test
synthetic_standard_multihotspot_2_00049,synthetic,standard,multihotspot,2,2x2,synthetic_val
synthetic_standard_stripes_2_00050,synthetic,standard,stripes,2,2x2,synthetic_train
synthetic_standard_checkerboard_2_00051,synthetic,standard,checkerboard,2,2x2,synthetic_train
synthetic_standard_hotspot_2_00052,synthetic,standard,hotspot,2,2x2,synthetic_train
synthetic_standard_checkerboard_2_00053,synthetic,standard,checkerboard,2,2x2,synthetic_train
synthetic_standard_hotspot_2_00054,synthetic,standard,hotspot,2,2x2,synthetic_train
synthetic_standard_uniform_2_00055,synthetic,standard,uniform,2,2x2,synthetic_train
synthetic_standard_hotspot_2_00056,synthetic,standard,hotspot,2,2x2,synthetic_val
synthetic_standard_stripes_2_00057,synthetic,standard,stripes,2,2x2,synthetic_train
synthetic_standard_checkerboard_2_00058,synthetic,standard,checkerboard,2,2x2,synthetic_train
synthetic_standard_hotspot_2_00059,synthetic,standard,hotspot,2,2x2,synthetic_train
synthetic_standard_checkerboard_2_00060,synthetic,standard,checkerboard,2,2x2,synthetic_val
synthetic_standard_uniform_2_00061,synthetic,standard,uniform,2,2x2,synthetic_val
synthetic_standard_uniform_2_00062,synthetic,standard,uniform,2,2x2,synthetic_train
synthetic_standard_hotspot_2_00063,synthetic,standard,hotspot,2,2x2,synthetic_train
synthetic_standard_checkerboard_2_00064,synthetic,standard,checkerboard,2,2x2,synthetic_train
synthetic_standard_hotspot_2_00065,synthetic,standard,hotspot,2,2x2,synthetic_train
synthetic_standard_checkerboard_2_00066,synthetic,standard,checkerboard,2,2x2,synthetic_train
synthetic_standard_uniform_2_00067,synthetic,standard,uniform,2,2x2,synthetic_train
synthetic_standard_multihotspot_2_00068,synthetic,standard,multihotspot,2,2x2,synthetic_test
