N,architecture,workload,mae_temp,rmse_temp,max_abs_error,peak_abs_error,grad_abs_error,phys_residual_mse
128,standard,checkerboard,0.0912066139280796,0.09953132458031178,0.6287293434143066,0.6287288665771484,0.010942112654447556,6.10704491919023e-05
128,standard,hotspot,0.5186508397261301,0.5297439048687617,0.6691020329793295,0.25626691182454425,0.008113482967019081,0.00012851275945043503
128,standard,multihotspot,0.4569598138332367,0.46740134060382843,0.6439828872680664,0.33700084686279297,0.008755418471992016,0.00010673856013454497
128,standard,quadrant,0.4588478207588196,0.47872376441955566,0.6986827850341797,0.26990222930908203,0.00841104076243937,0.00010931738870567642
128,standard,stripes,0.2603069730103016,0.3120068162679672,0.6833057403564453,0.19524288177490234,0.020474327728152275,8.057074774114881e-05
128,standard,uniform,0.2277815118432045,0.23555533215403557,0.48089027404785156,0.2938871383666992,0.005594581598415971,4.1261948354076594e-05
128,systolic,banded,0.12226194143295288,0.15322903792063394,0.5190931955973307,0.07517306009928386,0.009384436532855034,2.521558963053394e-05
128,systolic,checkerboard,0.9037589828173319,1.0896776119867961,3.097454071044922,2.2776362101236978,0.02311502645413081,0.0005843409647544225
128,systolic,hotspot,0.22931539515654245,0.31088539958000183,0.961811383565267,0.8512544631958008,0.008658979941780368,5.8427930828959994e-05
128,systolic,uniform,0.38477388620376585,0.38916329145431516,0.5399024963378907,0.27259483337402346,0.008335407450795173,8.653028926346451e-05
128,systolic,wavefront,0.2793583571910858,0.29407672584056854,0.4893182118733724,0.1817455291748047,0.007329566093782584,5.186136816822303e-05
256,standard,checkerboard,0.05781281739473343,0.06148463487625122,0.34333038330078125,0.3242378234863281,0.006986030377447605,2.2814849216956645e-05
256,standard,hotspot,0.42373092472553253,0.4288293421268463,0.6063385009765625,0.44202327728271484,0.006791394902393222,9.340075484942645e-05
256,standard,multihotspot,0.4663154184818268,0.4800272285938263,0.6112689971923828,0.3506126403808594,0.006855441723018885,0.00011096752132289112
256,standard,quadrant,0.42974992593129474,0.4695611298084259,0.6624959309895834,0.11498387654622395,0.007206798996776342,0.00010498581589975704
256,standard,stripes,0.28570297360420227,0.33950769901275635,0.7102956771850586,0.13550281524658203,0.017105206847190857,7.940733848954551e-05
256,standard,uniform,0.21562010049819946,0.2184082269668579,0.36922454833984375,0.04149627685546875,0.00369844282977283,2.556603249104228e-05
256,systolic,banded,0.12717771530151367,0.17899496108293533,0.4808921813964844,0.13791179656982422,0.006908059353008866,2.6770716431201436e-05
256,systolic,hotspot,0.16704354248940945,0.22264239564538002,0.6972336769104004,0.5048437118530273,0.006204592646099627,3.8004149246262386e-05
256,systolic,uniform,0.2592892050743103,0.26311513781547546,0.4065074920654297,0.1129302978515625,0.007016923278570175,4.9978272727457806e-05
256,systolic,wavefront,0.20759038627147675,0.21281309922536215,0.30998865763346356,0.04784393310546875,0.004462971352040768,2.7908492484129965e-05
