architecture,workload,N,shape,heat_scale,peak_temp,min_temp,avg_temp,temp_gradient,sum_activity,mean_activity,max_activity,std_activity,nonzero_cells,thermal_efficiency,grad_norm,hotspot_cells,hotspot_fraction
standard,checkerboard,2,2x2,0.1,27.029340744018555,26.900306701660156,26.964824676513672,0.12903404235839844,20.0,5.0,10.0,5.0,2.0,0.739936655851508,0.004785272810276676,4,1.0
standard,hotspot,2,2x2,0.1,26.139667510986328,25.88966941833496,25.982412338256836,0.2499980926513672,10.0,2.5,10.0,4.330127018922194,1.0,0.382560336538216,0.009621819921750176,4,1.0
standard,uniform,2,2x2,0.1,28.929645538330078,28.929645538330078,28.929645538330078,0.0,40.0,10.0,10.0,0.0,4.0,1.382664711429055,0.0,4,1.0
standard,checkerboard,4,4x4,0.1,27.05774688720703,26.87189483642578,26.964820861816406,0.18585205078125,80.0,5.0,10.0,5.0,8.0,2.95663938071001,0.006892389596566028,16,1.0
standard,hotspot,4,4x4,0.1,26.54804801940918,25.68393325805664,25.98241424560547,0.8641147613525391,40.0,2.5,10.0,4.330127018922194,4.0,1.5067021112345491,0.03325767779638457,16,1.0
standard,uniform,4,4x4,0.1,28.929645538330078,28.929645538330078,28.929645538330078,0.0,160.0,10.0,10.0,0.0,16.0,5.53065884571622,0.0,16,1.0
standard,checkerboard,8,8x8,0.1,27.074678421020508,26.854965209960938,26.964820861816406,0.2197132110595703,320.0,5.0,10.0,5.0,32.0,11.819161617504392,0.00814814280374826,64,1.0
standard,hotspot,8,8x8,0.1,27.512306213378906,25.287233352661133,25.982410430908203,2.2250728607177734,160.0,2.5,10.0,4.330127018922194,16.0,5.815579354165298,0.08563766116444944,64,1.0
standard,uniform,8,8x8,0.1,28.929645538330078,28.929645538330078,28.929643630981445,0.0,640.0,10.0,10.0,0.0,64.0,22.12263538286488,0.0,64,1.0
standard,checkerboard,16,16x16,0.1,27.079296112060547,26.850351333618164,26.964820861816406,0.2289447784423828,1280.0,5.0,10.0,5.0,128.0,47.268584630230286,0.008490498773035817,256,1.0
standard,hotspot,16,16x16,0.1,28.570537567138672,25.028432846069336,25.982410430908203,3.542104721069336,640.0,2.5,10.0,4.330127018922194,64.0,22.400698569148265,0.1363270251806858,94,0.3671875
standard,uniform,16,16x16,0.1,28.929645538330078,28.929645538330078,28.929649353027344,0.0,2560.0,10.0,10.0,0.0,256.0,88.49054153145951,0.0,256,1.0
systolic,checkerboard,2,2x2,0.1,27.35780906677246,27.35780906677246,27.35780906677246,0.0,24.0,6.0,6.0,0.0,4.0,0.8772632319138924,0.0,4,1.0
systolic,hotspot,2,2x2,0.1,28.647993087768555,28.347990036010742,28.536701202392578,0.3000030517578125,36.0,9.0,12.0,5.196152422706632,3.0,1.2566325288374365,0.010512884780552687,4,1.0
systolic,uniform,2,2x2,0.1,29.918535232543945,29.9056339263916,29.912084579467773,0.01290130615234375,50.0,12.5,13.0,0.5,4.0,1.6712048103749546,0.0004313074910599662,4,1.0
systolic,checkerboard,4,4x4,0.1,27.58098602294922,27.527557373046875,27.554271697998047,0.05342864990234375,104.0,6.5,7.0,0.5,16.0,3.770713632698449,0.0019390332826770232,16,1.0
systolic,hotspot,4,4x4,0.1,28.964685440063477,27.8918514251709,28.585819244384766,1.0728340148925781,146.0,9.125,13.0,5.278198082679353,12.0,5.040620941736698,0.03753028750796847,16,1.0
systolic,uniform,4,4x4,0.1,30.275957107543945,30.15618896484375,30.206798553466797,0.11976814270019531,212.0,13.25,15.0,0.9682458365518544,16.0,7.0022559236343795,0.003964939961717647,16,1.0
systolic,checkerboard,8,8x8,0.1,28.071184158325195,27.686492919921875,27.848987579345703,0.3846912384033203,464.0,7.25,9.0,0.9682458365518544,64.0,16.529406005210845,0.013813473014316251,64,1.0
systolic,hotspot,8,8x8,0.1,29.62624168395996,26.73581886291504,28.659503936767578,2.890422821044922,596.0,9.3125,15.0,5.422392806685993,48.0,20.117300275811978,0.10085390268520203,64,1.0
systolic,uniform,8,8x8,0.1,31.22166633605957,30.439380645751953,30.747116088867188,0.7822856903076172,936.0,14.625,19.0,1.899835519196333,64.0,29.979181441669677,0.02544257120071383,64,1.0
systolic,checkerboard,16,16x16,0.1,29.306564331054688,27.75283432006836,28.377037048339844,1.5537300109863281,2200.0,8.59375,12.0,1.834723667885712,256.0,75.06850598890472,0.05475307405560253,256,1.0
systolic,hotspot,16,16x16,0.1,30.626827239990234,25.437204360961914,28.794584274291992,5.18962287902832,2472.0,9.65625,19.0,5.75602605427564,192.0,80.71355157455703,0.1802291302278551,195,0.76171875
systolic,uniform,16,16x16,0.1,33.62158203125,30.564207077026367,31.772502899169922,3.057374954223633,4412.0,17.234375,24.0,3.6152549508125977,256.0,131.22523490712635,0.09622707294814689,256,1.0
