architecture,workload,N,shape,heat_scale,peak_temp,min_temp,avg_temp,temp_gradient
standard,checkerboard,2,2x2,0.1,27.029340744018555,26.900306701660156,26.964824676513672,0.12903404235839844
standard,hotspot,2,2x2,0.1,26.139667510986328,25.88966941833496,25.982412338256836,0.2499980926513672
standard,uniform,2,2x2,0.1,28.929645538330078,28.929645538330078,28.929645538330078,0.0
standard,checkerboard,4,4x4,0.1,27.05774688720703,26.87189483642578,26.964820861816406,0.18585205078125
standard,hotspot,4,4x4,0.1,26.54804801940918,25.68393325805664,25.98241424560547,0.8641147613525391
standard,uniform,4,4x4,0.1,28.929645538330078,28.929645538330078,28.929645538330078,0.0
standard,checkerboard,8,8x8,0.1,27.074678421020508,26.854965209960938,26.964820861816406,0.2197132110595703
standard,hotspot,8,8x8,0.1,27.512306213378906,25.287233352661133,25.982410430908203,2.2250728607177734
standard,uniform,8,8x8,0.1,28.929645538330078,28.929645538330078,28.929643630981445,0.0
standard,checkerboard,16,16x16,0.1,27.079296112060547,26.850351333618164,26.964820861816406,0.2289447784423828
standard,hotspot,16,16x16,0.1,28.570537567138672,25.028432846069336,25.982410430908203,3.542104721069336
standard,uniform,16,16x16,0.1,28.929645538330078,28.929645538330078,28.929649353027344,0.0
systolic,checkerboard,2,2x2,0.1,27.35780906677246,27.35780906677246,27.35780906677246,0.0
systolic,hotspot,2,2x2,0.1,28.647993087768555,28.347990036010742,28.536701202392578,0.3000030517578125
systolic,uniform,2,2x2,0.1,29.918535232543945,29.9056339263916,29.912084579467773,0.01290130615234375
systolic,checkerboard,4,4x4,0.1,27.58098602294922,27.527557373046875,27.554271697998047,0.05342864990234375
systolic,hotspot,4,4x4,0.1,28.964685440063477,27.8918514251709,28.585819244384766,1.0728340148925781
systolic,uniform,4,4x4,0.1,30.275957107543945,30.15618896484375,30.206798553466797,0.11976814270019531
systolic,checkerboard,8,8x8,0.1,28.071184158325195,27.686492919921875,27.848987579345703,0.3846912384033203
systolic,hotspot,8,8x8,0.1,29.62624168395996,26.73581886291504,28.659503936767578,2.890422821044922
systolic,uniform,8,8x8,0.1,31.22166633605957,30.439380645751953,30.747116088867188,0.7822856903076172
systolic,checkerboard,16,16x16,0.1,29.306564331054688,27.75283432006836,28.377037048339844,1.5537300109863281
systolic,hotspot,16,16x16,0.1,30.626827239990234,25.437204360961914,28.794584274291992,5.18962287902832
systolic,uniform,16,16x16,0.1,33.62158203125,30.564207077026367,31.772502899169922,3.057374954223633
